year_start,fiscal_year,source_file,code,description,fce,admissions,male,emergency,waiting_list,mean_wait,median_wait,mean_los,median_los,mean_age,day_case,bed_days,age_0_14,age_15_59,age_60_74,age_75_plus,female,gender_unknown,planned,other_admission,chapter,category
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,A00-A09,Intestinal infectious diseases,39481.0,36763.0,19500.0,32853.0,3095.0,51.3,35.0,3.6,1.0,19.0,3054.0,115142.47510958905,24716.0,7680.0,3195.0,3881.0,,,,,Infectious and parasitic,A00-A09 Intestinal infectious diseases
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,A15-A19,Tuberculosis,4951.0,3724.0,2849.0,2308.0,1025.0,22.8,7.0,21.2,10.0,45.0,418.0,59399.988904109596,282.0,3060.0,1058.0,548.0,,,,,Infectious and parasitic,A15-A19 Tuberculosis
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,A20-A49,Certain bacterial diseases,21425.0,16750.0,10693.0,14635.0,604.0,29.3,7.0,12.0,6.0,43.0,274.0,189193.58815068495,6140.0,4926.0,3875.0,6472.0,,,,,Infectious and parasitic,A20-A49 Certain bacterial diseases
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,A50-A64,Infections with predominantly sexual mode of transmission,3373.0,3297.0,1201.0,565.0,2471.0,85.6,49.0,3.8,1.0,36.0,2031.0,4294.969520547945,86.0,2731.0,182.0,177.0,,,,,Infectious and parasitic,A50-A64 Infections with predominantly sexual mode of transmission
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,A65-A79,Other infectious and parasitic disorders,330.0,307.0,173.0,174.0,88.0,72.5,25.0,17.9,4.0,34.0,70.0,2025.7263561643838,52.0,225.0,38.0,14.0,,,,,Infectious and parasitic,A65-A79 Other infectious and parasitic disorders
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,A80-A89,Viral infections of the central nervous system,2202.0,1851.0,1038.0,1603.0,74.0,38.9,14.0,12.4,4.0,30.0,36.0,14641.441191780821,388.0,1609.0,138.0,66.0,,,,,Infectious and parasitic,A80-A89 Viral infections of the central nervous system
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,A90-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,84.0,73.0,43.0,67.0,1.0,80.0,80.0,4.5,3.0,34.0,3.0,350.2548493150685,3.0,77.0,2.0,2.0,,,,,Infectious and parasitic,A90-A99 Arthropod-borne viral fevers & viral haemorrhagic fevers
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,B00-B09,Viral infections characterized by skin & mucous mem. lesns.,13075.0,12341.0,6227.0,7310.0,4405.0,69.3,39.0,5.3,2.0,34.0,4104.0,43169.16747945205,4869.0,4470.0,1577.0,2095.0,,,,,Infectious and parasitic,B00-B09 Viral infections characterized by skin & mucous mem. lesns.
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,B15-B19,Viral hepatitis,4654.0,4121.0,3176.0,1331.0,2352.0,46.8,27.0,4.8,2.0,41.0,1093.0,14280.75904109589,178.0,3794.0,476.0,106.0,,,,,Infectious and parasitic,B15-B19 Viral hepatitis
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,B20-B24,Human imrnunodeficiency virus [HIV] disease,4171.0,3672.0,3265.0,1479.0,1051.0,14.0,1.0,11.7,5.0,37.0,1445.0,25649.98915068493,264.0,3384.0,110.0,24.0,,,,,Infectious and parasitic,B20-B24 Human imrnunodeficiency virus [HIV] disease
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,B25-B34,Other viral diseases,40232.0,38575.0,20923.0,37820.0,319.0,34.1,7.0,1.7,1.0,13.0,237.0,66087.74312328767,27689.0,10649.0,1121.0,769.0,,,,,Infectious and parasitic,B25-B34 Other viral diseases
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,B35-B49,Mycoses,3427.0,2934.0,1543.0,1388.0,1108.0,41.1,22.0,6.8,2.0,43.0,1066.0,13033.507342465753,584.0,1484.0,740.0,614.0,,,,,Infectious and parasitic,B35-B49 Mycoses
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,B50-B64,Protozoal diseases,2495.0,2175.0,1562.0,1866.0,182.0,14.7,7.0,4.6,3.0,33.0,122.0,9451.660150684931,320.0,1970.0,184.0,14.0,,,,,Infectious and parasitic,B50-B64 Protozoal diseases
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,B65-B83,Helminthiases,504.0,469.0,245.0,285.0,154.0,54.1,26.0,4.3,3.0,27.0,109.0,1569.5106575342465,169.0,288.0,38.0,9.0,,,,,Infectious and parasitic,B65-B83 Helminthiases
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,B85-B99,Other infectious and parasitic diseases,1283.0,1137.0,574.0,825.0,219.0,55.0,26.0,6.9,3.0,33.0,176.0,6505.877684931506,538.0,346.0,157.0,239.0,,,,,Infectious and parasitic,B85-B99 Other infectious and parasitic diseases
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C00-C14,Malignant neoplasm of liporal cavity and pharynx,13093.0,12020.0,8915.0,1663.0,6296.0,18.6,10.0,10.1,5.0,59.0,4029.0,78391.46013698631,223.0,6377.0,4474.0,2018.0,,,,,Neoplasms,C00-C14 Malignant neoplasm of liporal cavity and pharynx
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C15-C26,Malignant neoplasm of digestive organs,223104.0,201976.0,133458.0,29776.0,88249.0,16.5,8.0,11.7,8.0,65.0,116179.0,998226.6492739727,368.0,62580.0,106807.0,53290.0,,,,,Neoplasms,C15-C26 Malignant neoplasm of digestive organs
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,82914.0,72541.0,53841.0,21887.0,29068.0,12.8,7.0,9.6,5.0,66.0,27047.0,435655.5534246575,204.0,20955.0,41628.0,20115.0,,,,,Neoplasms,C30-C39 Malignant neoplasms of respiratory & intrathoracic organs
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C40-C41,Malignant neoplasm of bone and articular cartilage,4965.0,4785.0,2591.0,959.0,1974.0,15.9,7.0,7.4,4.0,28.0,1164.0,25652.682520547947,1353.0,2897.0,470.0,245.0,,,,,Neoplasms,C40-C41 Malignant neoplasm of bone and articular cartilage
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C43-C44,Malignant neoplasms of skin,55479.0,55017.0,29813.0,1272.0,49051.0,43.7,29.0,5.4,2.0,69.0,42035.0,66123.86293150685,90.0,13025.0,19143.0,23219.0,,,,,Neoplasms,C43-C44 Malignant neoplasms of skin
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C45-C49,Malignant neoplasms of mesothelial and soft tissue,10499.0,9757.0,6465.0,2260.0,4294.0,16.5,7.0,8.2,4.0,51.0,3199.0,53189.19316438356,1289.0,4503.0,3106.0,1600.0,,,,,Neoplasms,C45-C49 Malignant neoplasms of mesothelial and soft tissue
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C50,Malignant neoplasm of breast,121708.0,119941.0,826.0,7231.0,54255.0,16.4,11.0,6.5,4.0,55.0,77139.0,272316.01094520546,3.0,81950.0,29622.0,10118.0,,,,,Neoplasms,C50 Malignant neoplasm of breast
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C51-C58,Malignant neoplasms of female genital organs,51800.0,49603.0,16.0,6692.0,23828.0,18.5,11.0,7.8,4.0,60.0,22204.0,208711.418630137,144.0,22935.0,20502.0,8212.0,,,,,Neoplasms,C51-C58 Malignant neoplasms of female genital organs
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C60-C63,Malignant neoplasms of male genital organs,40568.0,37890.0,40528.0,8195.0,17842.0,40.2,22.0,8.6,5.0,66.0,14778.0,193980.94756164384,92.0,8549.0,17245.0,14682.0,,,,,Neoplasms,C60-C63 Malignant neoplasms of male genital organs
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C64-C68,Malignant neoplasms of urinary tract,94543.0,90708.0,69017.0,6979.0,51514.0,48.9,26.0,6.4,3.0,69.0,45426.0,285048.1858767123,1459.0,14463.0,42495.0,36115.0,,,,,Neoplasms,C64-C68 Malignant neoplasms of urinary tract
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",16788.0,15101.0,9575.0,4540.0,4374.0,22.4,10.0,11.6,7.0,39.0,5231.0,111493.64339726028,4448.0,7114.0,4012.0,1204.0,,,,,Neoplasms,"C69-C72 Malignant neoplasms of eye, brain & other parts of CNS"
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,"C73-C80, C97",Malignant neoplsm. of thyroid and oth. endo. Glands etc.,85188.0,76390.0,35598.0,23279.0,26255.0,16.2,7.0,10.0,6.0,60.0,27509.0,477032.94706849323,2192.0,32122.0,33249.0,17616.0,,,,,Neoplasms,"C73-C80, C97 Malignant neoplsm. of thyroid and oth. endo. Glands etc."
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",197991.0,189963.0,116508.0,27066.0,82078.0,9.6,3.0,9.0,4.0,51.0,134149.0,487772.6616986301,22936.0,87549.0,60078.0,27417.0,,,,,Neoplasms,"C81-C96 Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,D00-D48,In situ & benign neoplasms and others of uncertainty,280180.0,272973.0,110509.0,14944.0,225811.0,82.7,41.0,5.2,3.0,52.0,183624.0,456136.4946575343,11139.0,154091.0,67744.0,47149.0,,,,,Neoplasms,D00-D48 In situ & benign neoplasms and others of uncertainty
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,D50-D64,Anaemias,105882.0,91127.0,43529.0,32408.0,42467.0,30.7,15.0,7.1,3.0,57.0,44073.0,323350.43710958905,8066.0,34382.0,25302.0,38121.0,,,,,Blood and immune,D50-D64 Anaemias
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,D65-D89,Diseases of the blood and blood-forming organs,47173.0,45091.0,26670.0,12860.0,19786.0,15.5,7.0,5.2,2.0,40.0,26705.0,94373.8302739726,12059.0,20786.0,9684.0,4592.0,,,,,Blood and immune,D65-D89 Diseases of the blood and blood-forming organs
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,E00-E07,Disorders of thyroid gland,11161.0,10279.0,2069.0,2076.0,7200.0,90.7,52.0,6.5,4.0,52.0,1468.0,57389.58273972603,254.0,6784.0,2306.0,1810.0,,,,,Endocrine and metabolic,E00-E07 Disorders of thyroid gland
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,E10-E14,Diabetes Mellitus,71877.0,61858.0,38510.0,29014.0,28347.0,45.6,27.0,10.4,5.0,55.0,26671.0,351733.80632876715,4649.0,30062.0,23622.0,13526.0,,,,,Endocrine and metabolic,E10-E14 Diabetes Mellitus
1998,1998-99,hosp-epis-stat-admi-prim-diag-sum-98-99-tab.xls,E15-E90,Endocrine nutritional and metabolic diseases,60034.0,54099.0,27757.0,22857.0,21803.0,53.2,19.0,8.3,4.0,44.0,20470.0,272373.57406849315,10306.0,28289.0,10981.0,10435.0,,,,,Endocrine and metabolic,E15-E90 Endocrine nutritional and metabolic diseases
